feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info
s__Neglectibacter_timonensis,3,1.794979790088652,0.0,0.5511022044088176,0.3220338983050848,0.9218436873747495,0,1,1,1
s__GGB4566_SGB6305,3,1.756835705308923,0.0,0.7835671342685371,0.13559322033898302,0.8376753507014028,0,1,1,1
s__GGB3538_SGB4728,3,1.7490900167682304,0.7551020408163265,0.6432865731462926,0.0,0.35070140280561124,1,1,0,1
s__GGB4569_SGB6310,3,1.7229034339866174,0.0,0.5010020040080161,0.5084745762711864,0.7134268537074149,0,1,1,1
s__Bacteroides_thetaiotaomicron,3,1.6630549234061343,0.0,0.5891783567134268,0.2542372881355932,0.8196392785571143,0,1,1,1
s__GGB33586_SGB53517,3,1.632203181873952,0.16326530612244894,0.8917835671342685,0.0,0.5771543086172345,1,1,0,1
s__Intestinibacter_bartlettii,3,1.611562107265378,0.0,0.6072144288577155,0.9322033898305084,0.07214428857715427,0,1,1,1
s__GGB4659_SGB6447,3,1.5613676332256352,0.34693877551020413,0.8416833667334669,0.0,0.37274549098196397,1,1,0,1
s__Senegalimassilia_SGB14826,3,1.5393644431720583,0.5714285714285714,0.5270541082164328,0.0,0.4408817635270541,1,1,0,1
s__GGB9636_SGB15108,3,1.5272585988303138,0.12244897959183676,0.8997995991983968,0.0,0.5050100200400802,1,1,0,1
s__Clostridium_SGB6173,3,1.5252878638633198,0.0,0.779559118236473,0.15254237288135597,0.5931863727454909,0,1,1,1
s__GGB9240_SGB14182,3,1.5058931422166366,0.0,0.533066132264529,0.423728813559322,0.5490981963927856,0,1,1,1
s__GGB9635_SGB15103,3,1.5050509181628562,0.22448979591836737,0.8496993987975952,0.0,0.4308617234468938,1,1,0,1
s__Ruminococcus_sp_NSJ_13,3,1.45457015726368,0.0,0.6973947895791583,0.06779661016949157,0.6893787575150301,0,1,1,1
s__Veillonella_dispar,3,1.4380188949327226,0.2857142857142857,0.9919839679358717,0.0,0.16032064128256518,1,1,0,1
s__Barnesiella_intestinihominis,3,1.4134710098162429,0.0,0.3106212424849699,0.27118644067796616,0.8316633266533067,0,1,1,1
s__Leuconostoc_mesenteroides,3,1.4101672733221546,0.40816326530612246,0.5070140280561122,0.0,0.4949899799599199,1,1,0,1
s__Escherichia_coli,3,1.4059644713155124,0.0,0.7374749498997997,0.1694915254237288,0.498997995991984,0,1,1,1
s__Candidatus_Geddesella_stercoravicola,3,1.4043680581501987,0.0,0.8657314629258517,0.288135593220339,0.25050100200400804,0,1,1,1
s__GGB3256_SGB4303,3,1.384905404028396,0.0,0.45691382765531063,0.3728813559322034,0.5551102204408818,0,1,1,1
s__Clostridium_sp_AF34_10BH,3,1.3693149009884176,0.0,0.342685370741483,0.0847457627118644,0.9418837675350702,0,1,1,1
s__Anaerotruncus_massiliensis,3,1.3405586683571227,0.326530612244898,0.7675350701402806,0.0,0.2464929859719439,1,1,0,1
s__GGB3677_SGB4990,3,1.288577154308617,0.0,0.9579158316633266,0.0,0.3306613226452906,1,1,0,1
s__GGB9590_SGB15012,3,1.2842419532943437,0.20408163265306123,0.9098196392785571,0.0,0.1703406813627254,1,1,0,1
s__Anaerobutyricum_soehngenii,3,1.2625250501002003,0.0,0.7154308617234468,0.0,0.5470941883767535,0,1,1,1
s__Clostridium_sp_AM49_4BH,3,1.2499915084406101,0.0,0.7895791583166333,0.10169491525423724,0.3587174348697395,0,1,1,1
s__Faecalibacillus_intestinalis,3,1.2352161951020686,0.0,0.9539078156312625,0.05084745762711862,0.23046092184368738,0,1,1,1
s__Alistipes_onderdonkii,3,1.2248564926463095,0.0,0.6452905811623246,0.11864406779661019,0.46092184368737477,0,1,1,1
s__GGB4689_SGB6487,3,1.170177088871621,0.10204081632653061,0.8196392785571143,0.0,0.24849699398797598,1,1,0,1
s__Clostridium_SGB4909,3,1.1683706395842532,0.0,0.3466933867735471,0.5932203389830508,0.22845691382765532,0,1,1,1
s__Gemmiger_formicilis,3,1.1648041846404675,0.0,0.03206412825651306,0.30508474576271183,0.8276553106212425,0,1,1,1
s__GGB9712_SGB15244,3,1.1588600930674908,0.0,0.6613226452905812,0.4915254237288136,0.006012024048096198,0,1,1,1
s__Clostridium_sp_AT4,3,1.13766308126457,0.6326530612244898,0.14829659318637278,0.0,0.35671342685370744,1,1,0,1
s__Clostridia_bacterium_UC5_1_1D1,3,1.129974234182651,0.4285714285714286,0.6533066132264529,0.0,0.04809619238476959,1,1,0,1
s__GGB36267_SGB14177,3,1.0665003476340436,0.020408163265306145,0.7575150300601202,0.0,0.2885771543086172,1,1,0,1
s__Eubacterium_sp_AF16_48,3,1.007064977412452,0.0,0.14228456913827658,0.38983050847457623,0.47494989979959923,0,1,1,1
s__GGB2652_SGB3573,3,0.984581407713386,0.36734693877551017,0.3527054108216433,0.0,0.2645290581162325,1,1,0,1
s__Roseburia_sp_AF02_12,3,0.9488808124724024,0.0,0.4308617234468938,0.2033898305084746,0.31462925851703405,0,1,1,1
s__GGB9719_SGB53514,3,0.9205758455686884,0.04081632653061229,0.3767535070140281,0.0,0.503006012024048,1,1,0,1
s__GGB9634_SGB15095,3,0.8987771461289926,0.3877551020408163,0.07815631262525047,0.0,0.43286573146292584,1,1,0,1
s__GGB4604_SGB6371,3,0.7838728304065758,0.0,0.25050100200400804,0.3389830508474576,0.1943887775551102,0,1,1,1
s__Erysipelatoclostridium_ramosum,3,0.7705615312257168,0.6122448979591837,0.13827655310621245,0.0,0.02004008016032066,1,1,0,1
s__Bifidobacterium_catenulatum,3,0.52783117254918,0.26530612244897955,0.21643286573146292,0.0,0.04609218436873752,1,1,0,1
s__GGB9758_SGB15368,2,1.94188376753507,0.0,0.9438877755511021,0.0,0.9979959919839679,0,1,0,1
s__Blautia_sp_Marseille_P3087,2,1.9198396793587174,0.0,0.9498997995991983,0.0,0.969939879759519,0,1,0,1
s__Eubacterium_ramulus,2,1.9018036072144289,0.0,0.9218436873747495,0.0,0.9799599198396793,0,1,0,1
s__Oscillospiraceae_bacterium_Marseille_Q3528,2,1.8837675350701404,0.0,0.8977955911823647,0.0,0.9859719438877755,0,1,0,1
s__Sutterella_wadsworthensis,2,1.8697394789579158,0.0,0.8957915831663327,0.0,0.9739478957915831,0,1,0,1
s__Dysosmobacter_welbionis,2,1.845691382765531,0.0,0.9519038076152304,0.0,0.8937875751503006,0,1,0,1
s__Ruminococcus_sp_BSD2780120874_150323_B10,2,1.8316633266533067,0.0,0.9158316633266533,0.0,0.9158316633266533,0,1,0,1
s__GGB2982_SGB3964,2,1.8296593186372747,0.0,0.9378757515030061,0.0,0.8917835671342685,0,1,0,1
s__Holdemanella_porci,2,1.813627254509018,0.0,0.8637274549098196,0.0,0.9498997995991983,0,1,0,1
s__Alistipes_putredinis,2,1.7995991983967936,0.0,0.9138276553106213,0.0,0.8857715430861723,0,1,0,1
s__Negativibacillus_massiliensis,2,1.7815631262525051,0.0,0.9258517034068137,0.0,0.8557114228456913,0,1,0,1
s__GGB52130_SGB14966,2,1.751503006012024,0.0,0.8937875751503006,0.0,0.8577154308617234,0,1,0,1
s__GGB9502_SGB14899,2,1.7314629258517034,0.0,0.8136272545090181,0.0,0.9178356713426854,0,1,0,1
s__Lachnospira_sp_NSJ_43,2,1.7314629258517034,0.0,0.9398797595190381,0.0,0.7915831663326653,0,1,0,1
s__GGB47687_SGB2286,2,1.719438877755511,0.0,0.9659318637274549,0.0,0.7535070140280561,0,1,0,1
s__Faecalibacterium_SGB15346,2,1.7074148296593186,0.0,0.7635270541082164,0.0,0.9438877755511021,0,1,0,1
s__Anaerotignum_faecicola,2,1.6993987975951903,0.0,0.7535070140280561,0.0,0.9458917835671343,0,1,0,1
s__Lachnospiraceae_bacterium_AM48_27BH,2,1.6851329778200468,0.0,0.8376753507014028,0.847457627118644,0.0,0,1,1,0
s__Mogibacterium_sp_BX12,2,1.6733466933867736,0.0,0.8296593186372745,0.0,0.8436873747494991,0,1,0,1
s__GGB2848_SGB3813,2,1.6412825651302605,0.0,0.7715430861723447,0.0,0.8697394789579158,0,1,0,1
s__Alistipes_ihumii,2,1.6412825651302605,0.0,0.6472945891783567,0.0,0.9939879759519038,0,1,0,1
