feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info
K01992,3,1.8856842708432815,0.0,0.8578578578578578,0.8586572438162544,0.16916916916916913,0,1,1,1
K09812,3,1.8797368797368799,0.42328042328042326,0.6346346346346347,0.0,0.8218218218218218,1,1,0,1
K17686,3,1.878163878163878,0.1164021164021164,0.990990990990991,0.0,0.7707707707707707,1,1,0,1
K07000,3,1.8723918264554307,0.0,0.4394394394394394,0.9434628975265018,0.48948948948948945,0,1,1,1
K01258,3,1.8576195242861908,0.44620811287477957,0.8368368368368369,0.0,0.5745745745745745,1,1,0,1
K00688,3,1.8555587389509651,0.0,0.9139139139139139,0.3180212014134276,0.6236236236236237,0,1,1,1
K14698,3,1.8549043743390032,0.0,0.27227227227227224,0.9469964664310954,0.6356356356356356,0,1,1,1
K02004,3,1.8539968539968539,0.798941798941799,0.35435435435435436,0.0,0.7007007007007007,1,1,0,1
K03555,3,1.8530435197101864,0.1763668430335097,0.9269269269269269,0.0,0.7497497497497497,1,1,0,1
K13319,3,1.84999284999285,0.9470899470899471,0.00700700700700696,0.0,0.8958958958958959,1,1,0,1
K07075,3,1.847533045412904,0.0,0.9319319319319319,0.5512367491166077,0.36436436436436437,0,1,1,1
K16030,3,1.8460841794175127,0.5908289241622575,0.2802802802802803,0.0,0.974974974974975,1,1,0,1
K02034,3,1.8428905095571761,0.04409171075837748,0.8268268268268268,0.0,0.9719719719719719,1,1,0,1
K07450,3,1.8364555031221699,0.6472663139329806,0.6846846846846847,0.0,0.5045045045045045,1,1,0,1
K03402,3,1.8361695028361695,0.5679012345679013,0.36436436436436437,0.0,0.9039039039039038,1,1,0,1
K00765,3,1.83011583011583,0.8201058201058201,0.3613613613613613,0.0,0.6486486486486487,1,1,0,1
K03546,3,1.8279231612564946,0.7178130511463845,0.34934934934934936,0.0,0.7607607607607607,1,1,0,1
K20572,3,1.8250154916821582,0.02821869488536155,0.9079079079079079,0.0,0.8888888888888888,1,1,0,1
K01012,3,1.823728490395157,0.3562610229276896,0.6236236236236237,0.0,0.8438438438438438,1,1,0,1
K02495,3,1.8194861528194863,0.4691358024691358,0.8418418418418419,0.0,0.5085085085085085,1,1,0,1
K16964,3,1.817495941170853,0.0,0.42242242242242245,0.8445229681978799,0.5505505505505506,0,1,1,1
K19271,3,1.807655712249352,0.0,0.8358358358358359,0.8056537102473498,0.1661661661661662,0,1,1,1
