feature,p_value,u_stat,cohens_d,cohens_d_raw,mean_diff,ad_mean,control_mean,direction,p_adj
K01066,0.03876119831142907,1420.5,0.20030471545730788,0.20030471545730788,0.18848329653354812,3.4521321459981786,3.2636488494646305,up,0.07841688581466034
K01069,0.04667008304560424,1410.0,0.4089637864180914,0.4089637864180914,0.09344267933738593,5.149085170527207,5.055642491189821,up,0.08985528434109746
K01077,0.47937989529232317,1236.0,0.12781439930060287,0.12781439930060287,0.05344294457211962,4.408528876669105,4.355085932096985,up,0.569453082483654
K01091,0.00036250978042975647,1624.0,0.6507111729735412,0.6507111729735412,0.16686359810645257,6.133588371084171,5.966724772977718,up,0.0038443577521381435
K01126,0.0005493617336653793,1609.0,0.6315338343770529,0.6315338343770529,0.17660805499220444,5.301089491699706,5.124481436707502,up,0.00460134190936289
K01129,0.019132861763444222,1458.0,0.5473637834432428,0.5473637834432428,0.07559774454470247,5.493576293827671,5.417978549282968,up,0.0459118854360021
K01139,0.00320785557370164,1540.0,0.3726732127780126,0.3726732127780126,0.14341566655814653,5.04876350200906,4.905347835450914,up,0.013182281498180176
K01142,0.007005508501929239,1506.0,0.46957957873428413,0.46957957873428413,0.11407764918232743,5.260754038917732,5.146676389735404,up,0.022038860478557295
K01151,0.030870391955030815,1433.0,0.27812032964786687,0.27812032964786687,0.062168676348581364,5.266848614569922,5.20467993822134,up,0.06536967056500084
K01153,0.33816238131863974,1270.0,0.16357150008044855,0.16357150008044855,0.027258579893438828,6.039660297759852,6.012401717866413,up,0.43854391660158903
K01154,0.8886706468652719,1120.0,0.0022413784788901077,0.0022413784788901077,0.0004433464439976831,6.545405703801304,6.544962357357306,up,0.9136840505299706
K01156,0.43049487574052847,1247.0,0.06992493663751108,0.06992493663751108,0.03504250055182023,4.489285320369,4.45424281981718,up,0.5261159494412592
K01159,0.6907360373398129,1085.0,0.18789952352756997,-0.18789952352756997,-0.059815093323499546,4.900670816798523,4.9604859101220224,down,0.7575628766487523
K01163,0.2443841500868893,1298.0,0.15736776193685648,0.15736776193685648,0.03628261029892155,4.787403189248286,4.751120578949364,up,0.3400689495918089
K01173,0.5605335522622867,1219.0,0.01727216323365436,0.01727216323365436,0.01870152304875905,3.574147720378475,3.555446197329716,up,0.6454480045752251
K01176,0.6372597912186636,1204.0,0.07326013452697167,0.07326013452697167,0.03258372609591831,4.649819771030724,4.617236044934805,up,0.7107689783312491
K01179,0.9120004248603445,1155.0,0.02342096260432205,0.02342096260432205,0.017285715054722317,4.193172937479943,4.175887222425221,up,0.9311184461889387
K01181,0.3927424477521658,1256.0,0.16961177212127174,0.16961177212127174,0.12220699661168277,4.051406826218545,3.9291998296068624,up,0.48860578883074557
K01185,0.33812961530413566,1009.0,0.33232551089537316,-0.33232551089537316,-0.37851695357815673,2.4152808780226622,2.793797831600819,down,0.43854391660158903
K01190,0.0030582661645809656,1542.0,0.5960618104147197,0.5960618104147197,0.24159544708452696,6.359949837293291,6.118354390208764,up,0.012848626218606931
K01193,0.002150196295493338,1556.5,0.42927421956487366,0.42927421956487366,0.38640215411489987,4.526239530408256,4.1398373762933565,up,0.010115435089690636
K01198,0.11657281610621636,1353.0,0.32311480498721606,0.32311480498721606,0.15347026515926743,5.35039414057922,5.1969238754199525,up,0.18948486177957297
K01200,0.01839015270007226,1460.0,0.5617259592748945,0.5617259592748945,0.21817893874864858,4.8522814903866465,4.634102551637998,up,0.04445413750109379
K01206,0.9764890713556766,1144.0,0.02342845078933614,-0.02342845078933614,-0.0064652021614639565,5.743171718266763,5.749636920428227,down,0.9817149303002407
