feature,mi_score
K06217,0.014083353869675408
K01447,0.014007837916401922
K02687,0.013461247388193653
K02123,0.013295542144363681
K07729,0.013284008539079961
K01206,0.013165406076727448
K01066,0.012810370657353909
K06941,0.012780750223321702
K19635,0.012718832973904748
K21395,0.012698164984486393
K01489,0.012561785160606798
K19302,0.012557015624586887
K03631,0.012190021507592963
K07260,0.012111078459899671
K03596,0.012087125356903039
K10540,0.011805192216513882
K07741,0.011564355302882579
K19353,0.011544775549846786
K03839,0.01146824725036022
K07079,0.011440308257879561
K01999,0.01134986051118192
K01873,0.011307874141070595
K06133,0.011252908851730137
K15986,0.011146822808144163
K02406,0.011092406738103078
K21837,0.010987965175408787
K14417,0.010922221021042677
K00287,0.010782733816926848
K20509,0.01071779581661736
K07487,0.010664319200640815
K02956,0.010582427712499287
K03088,0.010491344027665495
K01442,0.010432081904984125
K20492,0.01037884079016238
K19158,0.010238298462119877
K20170,0.009878559821131061
K07491,0.009689830726152149
K00096,0.009306735811807298
K01297,0.009147028620849929
K12308,0.009101443419014865
K23627,0.008982060487132015
K12907,0.008944174557701912
K01156,0.008861810366881828
K25087,0.00886000372444995
K02518,0.008737426648747881
K23888,0.00866640392147544
K02784,0.008507737356558964
K12678,0.008452208394780003
K12695,0.008423273209594795
K07238,0.008324702798524042
K03168,0.008221247226318562
K01992,0.00819760189017349
K02888,0.008171875301946852
K02781,0.007926330915777324
K19271,0.007889663300984617
K25089,0.007841476534048208
K01585,0.007655896120381422
K15857,0.007526802781874009
K04079,0.007510442901930814
K09779,0.007348161978233403
K11145,0.0072326813940029044
K18888,0.007006987119595687
K00003,0.006808048156869528
K07321,0.006765584833156257
K07447,0.00675445591577728
K00981,0.0067109808723022635
K07461,0.006703320708391969
K21838,0.006602755764076873
K07718,0.006560364706061028
K03830,0.006484875958697511
K03581,0.006463572031143672
K01890,0.006402695407766723
K01998,0.006393398862092559
K03558,0.006348091446912729
K07742,0.006206421773992998
K19334,0.006022173152244736
K09762,0.005944126199197708
K06909,0.005715766595838057
K00016,0.005710505653077069
K21908,0.005621705564277102
K16096,0.0055120929546643715
K00847,0.005442717885289161
K02315,0.00530754089373664
K22798,0.005282634912706197
K03570,0.0052486700349916315
K00797,0.005191435602757144
K14058,0.005174641054712437
K03744,0.005136311328882481
K09013,0.005071185482506957
K00077,0.0049147447010660095
K07574,0.00489783452790582
K16214,0.004897314214885595
K07005,0.004820047731369126
K00766,0.004809228281211331
K08384,0.004491963613617811
K15887,0.004445884857206206
K03572,0.004150693937015726
K16106,0.0041044149844864375
K03975,0.003892474147545455
K12719,0.003839113156684615
K03650,0.003816132664954397
K01823,0.0037842116311950225
K01265,0.003762786127232909
K06387,0.003632809044130436
K00878,0.003587975405546784
K02114,0.0035796750525773913
K07347,0.00350466750973899
K06213,0.0032027992391205906
K05592,0.003009614326266341
K01734,0.0030092717018432857
K04083,0.0028059738422954172
K20490,0.0027105253093469006
K14445,0.002687714004366404
K01471,0.0026400228950944626
K18475,0.0025692314180527642
K07240,0.0025220274645989527
K23102,0.0025024579137793435
K01356,0.0025002032240244443
K02031,0.0023663875571207083
K03685,0.002203364645935846
K03979,0.002144565023717293
K00882,0.0021390770816487326
K25763,0.002058168406989802
K07568,0.0019987949101163416
K14761,0.0019053409104123897
K00682,0.001860994427646867
K01714,0.0017902650140864118
K06079,0.0013956654007369895
K01537,0.0013752575678291912
K02519,0.0013092747353022904
K02237,0.001251116376060235
K18639,0.0009914399965114118
K12573,0.0009538597308449415
K02860,0.0009162836713552114
K02982,0.0007716077454291703
K01462,0.0006858139096352911
K03613,0.00027717286994755064
K00554,0.00024302752934901584
K01181,0.00018177512434669474
K15391,0.0001519438445150012
K02864,0.0
K01937,0.0
K01929,0.0
K02867,0.0
K02878,0.0
K02050,0.0
K16125,0.0
K01928,0.0
K01921,0.0
K02879,0.0
K19092,0.0
K02881,0.0
K02429,0.0
K01939,0.0
K18679,0.0
K18680,0.0
K18672,0.0
K02477,0.0
K02890,0.0
K15988,0.0
K16000,0.0
K02003,0.0
K16108,0.0
K02433,0.0
K18954,0.0
K16111,0.0
K18640,0.0
K01945,0.0
K19081,0.0
K01940,0.0
K02435,0.0
K02314,0.0
K02238,0.0
K02171,0.0
K17319,0.0
K17320,0.0
K17247,0.0
K17609,0.0
K17192,0.0
K02073,0.0
K02013,0.0
K16785,0.0
K02356,0.0
K02343,0.0
K02342,0.0
K02026,0.0
K02035,0.0
K02032,0.0
K02027,0.0
K17108,0.0
K01997,0.0
K02884,0.0
K01996,0.0
K02886,0.0
K01995,0.0
K01953,0.0
K02794,0.0
K02810,0.0
K01951,0.0
K02316,0.0
K02118,0.0
K02821,0.0
K02760,0.0
K02563,0.0
K02529,0.0
K02834,0.0
K02836,0.0
K02341,0.0
K02338,0.0
K02160,0.0
K00767,0.0
K00761,0.0
K00759,0.0
K00705,0.0
K00962,0.0
K00948,0.0
K00620,0.0
K00615,0.0
K00600,0.0
K00820,0.0
K00790,0.0
K23108,0.0
K01880,0.0
K22719,0.0
K00656,0.0
K00626,0.0
K00939,0.0
K23675,0.0
K23631,0.0
K23537,0.0
K23536,0.0
K23518,0.0
K23242,0.0
K01610,0.0
K01552,0.0
K22927,0.0
K07053,0.0
K07012,0.0
K06973,0.0
K06962,0.0
K06960,0.0
K06926,0.0
K07172,0.0
K07165,0.0
K07149,0.0
K07137,0.0
K07133,0.0
K07126,0.0
K06385,0.0
K07090,0.0
K06346,0.0
K06333,0.0
K06320,0.0
K06218,0.0
K07271,0.0
K07221,0.0
K06407,0.0
K06406,0.0
K06405,0.0
K06400,0.0
K06397,0.0
K07114,0.0
K01810,0.0
K01809,0.0
K01711,0.0
K01689,0.0
K01887,0.0
K01885,0.0
K02396,0.0
K01876,0.0
K19294,0.0
K01804,0.0
K01802,0.0
K01790,0.0
K01520,0.0
K01736,0.0
K19858,0.0
K19724,0.0
K19639,0.0
K19630,0.0
K19629,0.0
K19545,0.0
K18349,0.0
K18346,0.0
K18320,0.0
K18114,0.0
K17832,0.0
K01737,0.0
K01519,0.0
K01507,0.0
K01318,0.0
K01223,0.0
K01198,0.0
K01185,0.0
